"","id","ID","cycexp","G2_year","YOB","famfriends","cycling_test","walk_test","downtown_test","downtown_tor","traffic_type","turn_num","density"
"1",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T1",1
"2",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T2",1
"3",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV"," T3",1
"4",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T4",2.333333333
"5",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T5",1
"6",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T6",2
"7",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T7",1
"8",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T8",1
"9",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV ","T9",1
"10",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV ","T10",1
"11",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T11",2
"12",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T12",1
"13",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T13",1
"14",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T14",1
"15",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T15",1
"16",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T16",1.333333333
"17",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T17",1
"18",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","MV","T18",3
"19",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T1",1
"20",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T2",1.333333333
"21",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T3",1
"22",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T4",2
"23",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T5",1
"24",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T6",1.666666667
"25",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T7",1
"26",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T8",1.333333333
"27",1,2001,"Every day or almost every day",1992,1972,"No","Every day or almost every day","A few days a week","A few days a week","A few days a week","PED","T9",1
