,id,ID,cycexp,G2_year,YOB,famfriends,cycling_test,walk_test,downtown_test,downtown_tor,turn_num,MV,PED,CYC,direction,control_type,failure
1,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T1,1,1,1.333333333,Right,Signalized,No
2,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T2,1,1.333333333,1,Left,Signalized,No
3,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T3,1,1,1,Right,Signalized,No
4,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T4,2.333333333,2,1,Right,Signalized,No
5,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T5,1,1,1,Left,Uncontrolled,Yes
6,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T6,2,1.666666667,1,Left,Signalized,No
7,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T7,1,1,1,Left,Uncontrolled,Yes
8,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T8,1,1.333333333,1,Right,Uncontrolled,No
9,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T9,1,1,1,Right,Uncontrolled,Yes
10,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T10,1,1,1,Right,Signalized,Yes
11,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T11,2,1,1,Right,Signalized,Yes
12,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T12,1,1,1,Left,Uncontrolled,Yes
13,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T13,1,1,1,Right,Signalized,No
14,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T14,1,1,1,Right,Uncontrolled,No
15,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T15,1,1,1,Right,Signalized,No
16,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T16,1.333333333,1,1,Left,Uncontrolled,No
17,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T17,1,1,1,Left,Signalized,No
18,1,2001,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week,T18,3,1,1,Left,Signalized,No
19,2,2002,A few times or less,1987,1970,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T1,3,3,1,Right,Signalized,No
20,2,2002,A few times or less,1987,1970,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T2,3,3,1,Left,Signalized,No
21,2,2002,A few times or less,1987,1970,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T3,2,1,1,Right,Signalized,No
22,2,2002,A few times or less,1987,1970,No,Never,A few times a year or less,A few times a year or less,A few times a year or less,T4,1,1,1,Right,Signalized,No
